"","MES","INDICE","QTD_EMPRESAS","VLR_MERCADO_EM_REAIS","VLR_MERCADO_EM_DOLARES","MEDIA_INDICE","MEDIA_VLR_EM_REAIS","MEDIA_INDICE_PADRONIZADA","MEDIA_VLR_EM_REAIS_PADRONIZADA"
"19",2003-01-01,980.48,28,88660206438.59,25146124691.84,35.0171428571429,3166435944.23536,0.144682264089543,0.0125873738807775
"20",2003-02-01,994.76,30,89805798589.99,25203692913.69,33.1586666666667,2993526619.66633,0.12277312285247,0.00411706363320663
"21",2003-03-01,1095.13,31,97905704207.96,29198563779.2,35.3267741935484,3158248522.83742,0.148332435512506,0.0121862966135973
"22",2003-04-01,1165.01,32,109659046794.33,37946932934.58,36.4065625,3426845212.32281,0.16106180736748,0.0253440444509822
"23",2003-05-01,1214.45,30,114540906227.54,38623181220.49,40.4816666666667,3818030207.58467,0.209102257495823,0.0445070264493287
"24",2003-06-01,1159.76,31,111440764877.36,38802494734.45,37.4116129032258,3594863383.14065,0.172910111557489,0.0335747517167913
"25",2003-07-01,1263.04,32,117874198158.75,39748507219.28,39.47,3683568692.46094,0.197175955723208,0.0379201593020814
"26",2003-08-01,1406.87,32,130491506455.42,43988372309.29,43.9646875,4077859576.73187,0.250162775655926,0.0572352895062406
"27",2003-09-01,1359.51,32,127897436538.1,43749550707.43,42.4846875,3996794891.81563,0.232715401728278,0.0532641732401071
"28",2003-10-01,1464.9,33,135136935525.25,47313540902.32,44.3909090909091,4095058652.2803,0.25518740232662,0.0580778207360035
"29",2003-11-01,1613.22,33,147011118726.21,49844415381.47,48.8854545454545,4454882385.64273,0.308172547718689,0.0757045083863986
"30",2003-12-01,1845.41,35,229714912431.5,79508138042.18,52.726,6563283212.32857,0.353447840037325,0.178988753887775
"31",2004-01-01,1791.39,35,220245891507.82,74890642833.08,51.1825714285714,6292739757.36629,0.335252721512778,0.165735639836858
"32",2004-02-01,1847.56,35,228589946125.45,78450801745.29,52.7874285714286,6531141317.87,0.35417200710189,0.177414218687389
"33",2004-03-01,1815.47,35,223729687417.78,76920060310.03,51.8705714285714,6392276783.36514,0.343363392635901,0.170611660800055
"34",2004-04-01,1581.14,35,197527587038.79,67079018928.51,45.1754285714286,5643645343.96543,0.264435919036179,0.133938447434573
"35",2004-05-01,1706.51,36,213792668287.61,68324012747.29,47.4030555555556,5938685230.21139,0.290696892660085,0.148391568329818
"36",2004-06-01,1778.17,38,227788380649.74,73302777361.1,46.7939473684211,5994431069.73,0.28351625867135,0.151122390145882
"37",2004-07-01,1886.47,38,242300091855.18,80051569927.07,49.6439473684211,6376318206.71526,0.317114242248239,0.169829897898193
"38",2004-08-01,1985.1,38,253682282682.96,86468839962.84,52.2394736842105,6675849544.28842,0.347712295066231,0.184503041549863
"39",2004-09-01,2083.66,39,276448309430.59,96707587431.14,53.4271794871795,7088418190.52795,0.361713881053012,0.204713544602717
"40",2004-10-01,2152.02,39,280712381210.02,98271444498.49,55.18,7197753364.35949,0.382377472211951,0.210069547499805
"41",2004-11-01,2288.25,45,309979788674.83,113516603315.91,50.85,6888439748.32956,0.331332114707415,0.194917199307468
"42",2004-12-01,2545.13,46,345633990661.94,130211720412.14,55.3289130434783,7513782405.69435,0.384132973260782,0.225550864276796
"43",2005-01-01,2436.39,46,333349328029.15,126999896384.15,52.965,7246724522.37283,0.356265355151317,0.212468497947328
"44",2005-02-01,2786.15,46,377895161127.26,145624339548.05,60.5684782608696,8215112198.4187,0.44590098242708,0.259906911557916
"45",2005-03-01,2624.22,49,362116491421.88,135817452337.38,53.5555102040816,7390132477.99755,0.363226741866657,0.219493624435671
"46",2005-04-01,2451.37,49,332457443738.07,131338617997.92,50.0279591836735,6784845790.57286,0.321641267743741,0.189842441400918
"47",2005-05-01,2493.18,51,337733332679.06,140499763989.92,48.8858823529412,6622222209.39333,0.308177591041114,0.181875998934064
"48",2005-06-01,2507.27,52,341065790334.07,145109679345.68,48.2167307692308,6558957506.42442,0.300289119490254,0.178776850503505
"49",2005-07-01,2650.1,56,368793730703.09,154274725247.05,47.3232142857143,6585602333.98375,0.289755662599424,0.180082100850663
"50",2005-08-01,2908.13,56,397055235451.25,167980384757.48,51.9308928571429,7090272061.62946,0.344074507852209,0.204804360198856
"51",2005-09-01,3272.13,57,449729145729.84,202380139379.8,57.4057894736842,7889985012.80421,0.408616783854917,0.243979903925803
"52",2005-10-01,3211.78,59,442869604409.01,196455487028.78,54.4369491525424,7506264481.50864,0.373617819520837,0.225182583674062
"53",2005-11-01,3484.36,62,489842235410.24,221949359044.05,56.1993548387097,7900681216.29419,0.394394408047035,0.244503878918228
"54",2005-12-01,3658.81,64,530077331262.85,226461029291.64,57.16890625,8282458300.98203,0.405824222921941,0.263205995537904
"55",2006-01-01,4316.59,64,618088839155.36,278920956297.52,67.44671875,9657638111.8025,0.526986951196095,0.330571938195296
"56",2006-02-01,4338.47,67,625327537941.04,292824883137.94,64.7532835820896,9333246834.9409,0.495234673814737,0.314680980530219
"57",2006-03-01,4238.9,69,619261220831.73,285058562342.02,61.4333333333333,8974800301.90913,0.456096556644984,0.2971217578017
"58",2006-04-01,4368.73,72,646442229865.39,309420940965.6,60.6768055555555,8978364303.68597,0.447178027573672,0.297296347580753
